"ѕоварЄнок.ру - всЄ о кулинарии";1351249;"http://www.povarenok.ru/"

"ƒата";"ѕосетители";"Ќовые посетители";"ядро";"’осты";"ѕросмотры";"√лубина"
"27 марта";63179;0;0;60599;496152;7.853
"26 марта";69218;0;0;66473;594867;8.594
"25 марта";68083;0;0;65059;563643;8.279
"24 марта";66972;0;0;64445;572962;8.555
"23 марта";66922;0;0;64130;566265;8.462
"22 марта";69443;0;0;66179;578215;8.326
"21 марта";66362;0;0;63521;505381;7.616
"20 марта";65936;0;0;62920;518712;7.867
"19 марта";70914;0;0;67662;585995;8.263
"18 марта";72798;0;0;69245;592399;8.138
"17 марта";71054;0;0;67637;598049;8.417
"16 марта";68966;0;0;65796;557410;8.082
"15 марта";68170;0;0;65237;563948;8.273
"14 марта";65484;0;0;62470;498543;7.613
"13 марта";65952;0;0;63145;494432;7.497
"12 марта";71243;0;0;67877;578658;8.122
"11 марта";62922;0;0;60628;527218;8.379
"10 марта";63136;0;0;60674;518816;8.217
"9 марта";60952;0;0;58635;485014;7.957
"8 марта";55018;0;0;53234;369334;6.713
"7 марта";69884;0;0;66161;519535;7.434
"6 марта";64658;0;0;61860;504503;7.803
"5 марта";63314;0;0;60778;527837;8.337
"4 марта";65810;0;0;63137;560434;8.516
"3 марта";66776;0;0;63823;563738;8.442
"2 марта";67176;0;0;64043;562908;8.380
"1 марта";64777;0;0;61999;534070;8.245
"28 феврал€";65185;0;0;62072;507578;7.787
"27 феврал€";68729;0;0;65264;561829;8.175
"26 феврал€";71818;0;0;68285;608511;8.473
"25 феврал€";68112;0;0;64846;582229;8.548
"24 феврал€";66920;0;0;63945;553100;8.265
"23 феврал€";66963;0;0;64000;511977;7.646
"22 феврал€";77308;0;0;73055;617817;7.992
"21 феврал€";71827;0;0;67894;573748;7.988
"20 феврал€";68245;0;0;64680;538365;7.889
"19 феврал€";68048;0;0;64882;549006;8.068
"18 феврал€";69541;0;0;66232;571333;8.216
"17 феврал€";62901;0;0;60187;501574;7.974
"16 феврал€";67891;0;0;64557;532692;7.846
"15 феврал€";66790;0;0;63501;501054;7.502
"14 феврал€";61132;0;0;58117;438690;7.176
"13 феврал€";67097;0;0;63452;502361;7.487
"12 феврал€";71345;0;0;67572;549985;7.709
"11 феврал€";67975;0;0;64955;535648;7.880
"10 феврал€";69109;0;0;65607;547300;7.919
"9 феврал€";71960;0;0;68037;555687;7.722
"8 феврал€";70314;0;0;66630;547920;7.792
"7 феврал€";64397;0;0;60973;489600;7.603
"6 феврал€";63824;0;0;60398;495828;7.769
"5 феврал€";68463;0;0;65117;562747;8.220
"4 феврал€";66287;0;0;63105;562827;8.491
"3 феврал€";66563;0;0;63268;562114;8.445
